ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
597729,7273,445,0,7618,00-0
597730,7273,65,0,0,00-0
597731,7273,65,3939,0,00-0
754808,8929,448,0,7966,00-0
754809,8929,404,0,5090,00-0
773233,9185,400,0,55,00-00
773234,9185,431,0,8407,00-00
784036,9242,215,0,5219,00-0
784037,9242,404,0,5090,00-0
784319,9242,215,0,5219,44-14
784321,9242,215,5219,0,43-52
801617,9484,408,0,667,00-0
801618,9484,22,0,4435,00-0
801755,9484,22,4435,0,44-42
828783,9886,411,0,2312,00-00
828784,9886,500,0,217,00-00
852962,10127,205,0,2458,00-0
852963,10127,491,0,4435,00-0
853069,10127,491,4435,0,44-24
853070,10127,491,0,4435,44-58
875799,10485,449,0,1194,00-0
875823,10485,501,0,8959,00-0
879019,10552,331,0,217,00-0
879117,10552,439,0,4246,00-0
879253,10563,532,0,7620,00-0
879254,10563,449,0,1194,00-0
883150,10579,439,0,4246,00-0
883151,10579,567,0,3165,00-0
883230,10579,439,4246,0,44-20
886331,10604,439,0,4246,00-0
886332,10604,335,0,6265,00-0
896849,10695,400,0,2764,00-0
896850,10695,502,0,8829,00-0
897460,10704,129,0,5694,00-0
897461,10704,400,2764,0,00-00
897621,10704,400,0,2764,29-43
897890,10708,400,0,5265,00-00
897891,10708,405,0,10238,00-00
902011,10820,402,0,8020,00-0
902012,10820,214,0,8012,00-0
902095,10738,494,0,154,00-0
902096,10738,31,0,7542,00-00
902488,10802,453,0,1176,00-00
902489,10802,545,0,6584,00-00
909958,10883,400,0,2458,00-0
909959,10883,61,0,979,00-0
923313,10994,207,0,1296,00-0
923314,10994,402,0,8020,00-0
924334,10994,207,1296,0,44-49
