ID team,division
333,Division 1
545,Division 1
452,Division 1
29,Division 1
239,Division 1
1,Division 1
438,Division 1
404,Division 2
501,Division 2
439,Division 2
176,Division 2
406,Division 2
451,Division 2
400,Division 2
44,Division 3
335,Division 3
443,Division 3
63,Division 3
402,Division 3
23,Division 3
331,Division 3
489,Division 4
411,Division 4
215,Division 4
449,Division 4
405,Division 4
502,Division 4
332,Division 4
65,Division 5
129,Division 5
375,Division 5
490,Division 5
189,Division 5
214,Division 5
26,Division 5
